,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0220210730,str_14,pfc_29,34,0.002,65.0
1,AKED0220210730,str_39,pfc_15,25,0.002,51.0
2,AKED0220210730,str_49,pfc_19,25,0.0015,77.0
3,AKED0220210730,str_49,pfc_31,32,0.0015,96.0
4,AKED0220210730,str_49,pfc_49,25,0.002,74.0
5,AKED0220210730,str_9,pfc_14,25,0.002,52.0
6,AKED0220210730,str_28,pfc_59,30,0.0025,58.0
7,AKED0220210730,str_28,pfc_53,27,0.0025,118.0
8,AKED0220210730,str_7,pfc_48,34,0.0025,64.0
9,AKED0220210730,str_46,pfc_28,30,0.0015,92.0
10,AKED0220210730,str_29,pfc_15,23,0.002,49.0
11,AKED0220210730,str_3,pfc_54,34,0.0015,49.0
12,AKED0220210730,str_38,pfc_52,30,0.0015,54.0
13,AKED0220210730,str_36,pfc_13,31,0.003,175.0
14,AKED0220210730,str_26,pfc_65,32,0.002,63.0
15,AKED0220210730,str_26,pfc_34,34,0.002,45.0
16,AKED0220210730,str_51,pfc_34,34,0.0015,77.0
17,AKED0220210730,str_6,pfc_37,25,0.0015,51.0
18,AKED0220210730,str_34,pfc_1,32,0.0025,81.0
19,AKED0220210730,str_50,pfc_43,34,0.003,105.0
20,AKED0220210730,str_35,pfc_65,34,0.0025,53.0
21,AKED0220210730,str_35,pfc_0,28,0.003,85.0
22,AKED0220210730,str_4,pfc_10,32,0.002,104.0
23,AKED0220210730,str_12,pfc_66,23,0.0015,28.0
24,AKED0220210730,str_8,pfc_49,32,0.0025,96.0
25,AKED0220210730,str_8,pfc_49,34,0.0025,94.0
26,AKED0220210730,str_8,pfc_41,31,0.0025,91.0
27,AKED0220210730,str_53,pfc_56,30,0.002,100.0
28,AKED0220210730,str_19,pfc_51,29,0.0025,54.0
29,AKED0220210730,str_20,pfc_58,23,0.0015,44.0
30,AKED0220210730,str_22,pfc_36,29,0.0025,107.0
31,AKED0220210730,str_33,pfc_56,30,0.003,121.0
