,firing_rate,sem_firing_rate,advantageous_proportion,sem_advantageous_proportion
0,0.588871885615602,0.006832514440571131,0.8395061728395058,0.02674017652896835
1,0.5850730515228914,0.006740990798811895,0.8364197530864198,0.025511268742657453
2,0.5775721905349235,0.00677044280991505,0.8172839506172836,0.02640879681999205
3,0.5798669067741244,0.006791344353273969,0.7802469135802467,0.031736788681095446
4,0.580628103543046,0.006800901183592663,0.7432098765432097,0.03530684065183858
5,0.5806071885894863,0.006798136438949015,0.7061728395061728,0.03762276269171454
6,0.5827309781009359,0.006788708489233316,0.6592592592592591,0.04018619132751834
7,0.5824072416216369,0.006785555778135579,0.6222222222222222,0.04175687537108089
8,0.5802796871091515,0.006721146008578293,0.597530864197531,0.042551431484974034
9,0.5801664739058126,0.006768713318942193,0.5703703703703704,0.04320791686718252
10,0.5737555929541337,0.006794237149420087,0.5358024691358027,0.04245580619034803
11,0.5748004726487038,0.0068216196018258055,0.5160493827160495,0.04217298371196675
12,0.5716792214277954,0.006719836755461046,0.4987654320987655,0.04235463415947291
13,0.5754350645570714,0.006734668958399175,0.4790123456790124,0.0417099838623298
14,0.5715618210790023,0.006713458590288491,0.4641975308641976,0.04158528465623356
15,0.5762533971743456,0.0068296156303158,0.4469135802469137,0.04015996135229682
16,0.5748447461002639,0.0067914833360287604,0.4172839506172839,0.040148714688453685
17,0.5713959347442592,0.006835684978715518,0.3925925925925925,0.040186191327518356
18,0.5725451066724521,0.006826136530384132,0.37962962962962965,0.04097182664967051
19,0.5714017430313377,0.006878846186397024,0.3539094650205761,0.04329628006864494
